pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43461_40532,43461,40532,4.359350464530866,784,784,1.0,0.9964322447776794
43446_40532,43446,40532,4.359350464530866,784,784,1.0,0.9968962669372559
43447_40532,43447,40532,4.359350464530866,784,784,1.0,0.9968947768211365
43448_40532,43448,40532,4.359350464530866,784,784,1.0,0.996898889541626
43449_40532,43449,40532,4.359350464530866,784,784,1.0,0.9968803524971008
43434_40532,43434,40532,4.359350464530866,784,784,1.0,0.9971364736557007
43431_40532,43431,40532,4.359350464530866,784,784,1.0,0.9971435070037842
43432_40532,43432,40532,4.359350464530866,784,784,1.0,0.9971486330032349
43433_40532,43433,40532,4.359350464530866,784,784,1.0,0.9971760511398315
43445_40532,43445,40532,4.359350464530866,784,784,1.0,0.9969110488891602
43444_40532,43444,40532,4.359350464530866,784,784,1.0,0.996920108795166
43428_40532,43428,40532,4.359350464530866,784,784,1.0,0.9971311688423157
43429_40532,43429,40532,4.359350464530866,784,784,1.0,0.9971364736557007
43421_40532,43421,40532,4.359350464530866,784,784,1.0,0.9969548583030701
43435_40532,43435,40532,4.359350464530866,784,784,1.0,0.997117817401886
43436_40532,43436,40532,4.359350464530866,784,784,1.0,0.9970796704292297
43437_40532,43437,40532,4.359350464530866,784,784,1.0,0.9970695376396179
43430_40532,43430,40532,4.359350464530866,784,784,1.0,0.9971242547035217
43451_40532,43451,40532,4.359350464530866,784,784,1.0,0.9968000054359436
43452_40532,43452,40532,4.359350464530866,784,784,1.0,0.9967269897460938
43453_40532,43453,40532,4.359350464530866,784,784,1.0,0.9966766834259033
43450_40532,43450,40532,4.359350464530866,784,784,1.0,0.9968304634094238
43422_40532,43422,40532,4.359350464530866,784,784,1.0,0.9969929456710815
43295_40433,43295,40433,5.74609844612315,784,784,1.0,0.9960331916809082
43297_40433,43297,40433,5.74609844612315,784,784,1.0,0.9960020184516907
43296_40433,43296,40433,5.74609844612315,784,784,1.0,0.996008574962616
43318_40433,43318,40433,5.74609844612315,784,784,1.0,0.9955552816390991
43319_40433,43319,40433,5.74609844612315,784,784,1.0,0.9955330491065979
43320_40433,43320,40433,5.74609844612315,784,784,1.0,0.9954943060874939
43321_40433,43321,40433,5.74609844612315,784,784,1.0,0.9955061078071594
43322_40433,43322,40433,5.74609844612315,784,784,1.0,0.9955050349235535
43323_40433,43323,40433,5.74609844612315,784,784,1.0,0.9955005049705505
43324_40433,43324,40433,5.74609844612315,784,784,1.0,0.9954750537872314
43325_40433,43325,40433,5.74609844612315,784,784,1.0,0.9954746961593628
43326_40433,43326,40433,5.74609844612315,784,784,1.0,0.9954360723495483
43357_40433,43357,40433,5.74609844612315,784,784,1.0,0.9950640797615051
43356_40433,43356,40433,5.74609844612315,784,784,1.0,0.99509197473526
43355_40433,43355,40433,5.74609844612315,784,784,1.0,0.9950881600379944
43354_40433,43354,40433,5.74609844612315,784,784,1.0,0.9951052665710449
43353_40433,43353,40433,5.74609844612315,784,784,1.0,0.9951329827308655
43352_40433,43352,40433,5.74609844612315,784,784,1.0,0.9951408505439758
43351_40433,43351,40433,5.74609844612315,784,784,1.0,0.995123028755188
43350_40433,43350,40433,5.74609844612315,784,784,1.0,0.9951086044311523
