pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
41974_25413,41974,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9719915390014648
41941_25413,41941,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972407877445221
41940_25413,41940,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9719769954681396
41971_25413,41971,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9714162349700928
41970_25413,41970,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.971138596534729
41969_25413,41969,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9712494611740112
41968_25413,41968,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9713553786277771
41967_25413,41967,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9710533022880554
41966_25413,41966,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9712975025177002
41965_25413,41965,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9713058471679688
41964_25413,41964,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9713692665100098
41963_25413,41963,25413,7.024347694522669,12.0,11.9,784,773,0.985969387755102,0.9718800783157349
41962_25413,41962,25413,7.024347694522669,12.0,11.9,784,779,0.9936224489795918,0.9719581007957458
41961_25413,41961,25413,7.024347694522669,12.0,11.9,784,776,0.9897959183673469,0.972252368927002
41960_25413,41960,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9721563458442688
41959_25413,41959,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9725860357284546
41958_25413,41958,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723400473594666
41925_25413,41925,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9707536697387695
41924_25413,41924,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9706763625144958
41955_25413,41955,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972758948802948
41954_25413,41954,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9727055430412292
41953_25413,41953,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972985565662384
41952_25413,41952,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9729942679405212
41951_25413,41951,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9728779792785645
41950_25413,41950,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9724596738815308
41949_25413,41949,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972430944442749
41948_25413,41948,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9725596308708191
41947_25413,41947,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9725139141082764
41946_25413,41946,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723356366157532
41945_25413,41945,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9722505807876587
41944_25413,41944,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723915457725525
41943_25413,41943,25413,7.024347694522669,12.0,11.9,784,772,0.9846938775510204,0.9725966453552246
41942_25413,41942,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9723758101463318
41909_25413,41909,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9685989022254944
41908_25413,41908,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9685089588165283
41939_25413,41939,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.972301721572876
41938_25413,41938,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9722800254821777
41937_25413,41937,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9720350503921509
41936_25413,41936,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9721794724464417
41935_25413,41935,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9717320203781128
41934_25413,41934,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9718865156173706
41933_25413,41933,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9717860817909241
